_id,_pct_missed,_judgments,_hidden,_contention,_pct_contested,_gold_pool,_farg_secim,farg_secim_gold,farg_secim_gold_reason,sid,sent,pred,pred_no,senseid,ex0,ex1,ex2,arg0,arg1,arg2,arg3,arg4,farg,farg_secim_gold,farg_secim_gold_reason,_golden
856196054,0.00,9,false,"",0.0,,"",işlenen,İşlenen nedir,34,"Değişiklikle , milletvekili seçilme yeterliliğini düzenleyen yetmişaltı. maddedeki , "" ideolojik ve anarşik eylemler "" ifadesi "" terör eylemleri "" diye değiştirildi , Erdoğan'ın işlediği suç , seçilmesine engel olmaktan çıkarıldı . ",işle,1,2,&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <strong>Cümle:</strong><font size=3><i>Suç işlemiş sayılırım.</i></font><br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>Eylem</b>: işlemiş<br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>yapılan olay</b>: Suç<br>,N.A,N.A,işleyen,işlenen,N.A,N.A,N.A,suç,işlenen,İşlenen nedir,TRUE
856196055,0.07,14,false,"",0.0,,"",işleyen,Suçu işleyen kimdir ?,34,"Değişiklikle , milletvekili seçilme yeterliliğini düzenleyen yetmişaltı. maddedeki , "" ideolojik ve anarşik eylemler "" ifadesi "" terör eylemleri "" diye değiştirildi , Erdoğan'ın işlediği suç , seçilmesine engel olmaktan çıkarıldı . ",işle,1,2,&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <strong>Cümle:</strong><font size=3><i>Suç işlemiş sayılırım.</i></font><br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>Eylem</b>: işlemiş<br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>yapılan olay</b>: Suç<br>,N.A,N.A,işleyen,işlenen,N.A,N.A,N.A,Erdoğan'ın,işleyen,Suçu işleyen kimdir ?,TRUE
856196056,0.00,6,false,"",0.0,,"",gösterilen,"Neyi gösteriyordu (Görünen şey nedir)? ""ormanın bu bölümüne kasabadan sıkça gelinmediğini"".",66,"Yerde araç izinin olmaması ve kamyonun ilerleyecek yol bulamaması , ormanın bu bölümüne kasabadan sıkça gelinmediğini gösteriyordu . ",göster,1,1,&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <strong>Cümle:</strong><font size=3><i>Size kitaplarımı göstereyim.</i></font><br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>Eylem</b>: göstereyim<br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>gösterilen kişi</b>: Size<br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>görünen şey</b>: kitaplarımı<br>,N.A,N.A,gösteren,gösterilen,kime/neye gösterildiği,N.A,N.A,gelinmediğini,gösterilen,"Neyi gösteriyordu (Görünen şey nedir)? ""ormanın bu bölümüne kasabadan sıkça gelinmediğini"".",TRUE
856196057,0.12,8,false,"",0.0,,"",ne istediği,"Ne istiyor ? ""İntihar etmek""",110,İntihar etmek istiyor ama beceremiyordum . ,iste,1,1,&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <strong>Cümle:</strong><font size=3><i>Kımıldamak istedi kımıldayamadı.</i></font><br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>Eylem</b>: istedi<br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>arzuladığı şey</b>: Kımıldamak<br>,N.A,N.A,isteyen,ne istediği,N.A,N.A,N.A,etmek,ne istediği,"Ne istiyor ? ""İntihar etmek""",TRUE
856196058,0.27,11,false,"",0.0,,"","Cümle başındaki Bağlaç (Ayrıca, Fakat, Buna rağmen vb.) ya da Seslenme (Allahım, duy sesimi)
Tüm cümleyi etkileyen, diğer tanımlara uymayan zarflar (Mutlaka, muhtemelen vb...)","""Genelde tüm cümleyi etkileyen, diğer tanımlara uymayan zarf öğeler (Mutlaka, muhtemelen vb...)""",128,"Mutlaka ya kızartılacak , ya közlenecek . ",kızar,1,1,"&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <strong>Cümle:</strong><font size=3><i>Yüzü kızardı, utandı.</i></font><br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>Eylem</b>: kızardı<br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>kızaran</b>: Yüzü<br>",N.A,N.A,N.A,kızaran,N.A,N.A,N.A,Mutlaka,"Cümle başındaki Bağlaç (Ayrıca, Fakat, Buna rağmen vb.) ya da Seslenme (Allahım, duy sesimi)
Tüm cümleyi etkileyen, diğer tanımlara uymayan zarflar (Mutlaka, muhtemelen vb...)","""Genelde tüm cümleyi etkileyen, diğer tanımlara uymayan zarf öğeler (Mutlaka, muhtemelen vb...)""",TRUE
856196059,0.00,7,false,"",0.0,,"",incelenen,Neyi incelemek ?,131,Raporları detaylı incelemek içinse zamanla yarışacaklardı ... ,incele,1,1,&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <strong>Cümle:</strong><font size=3><i>Bu formülü incelemek gerek.</i></font><br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>Eylem</b>: incelemek<br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>incelenen</b>: Bu formülü<br>,N.A,N.A,inceleyen,incelenen,N.A,N.A,N.A,Raporları,incelenen,Neyi incelemek ?,TRUE
856196060,0.00,8,false,"",0.0,,"","Nasıl (hızlıca, güzel, yavaş, yapıp, koşup vb)",Nasıl inceleniyor ? ,131,Raporları detaylı incelemek içinse zamanla yarışacaklardı ... ,incele,1,1,&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <strong>Cümle:</strong><font size=3><i>Bu formülü incelemek gerek.</i></font><br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>Eylem</b>: incelemek<br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>incelenen</b>: Bu formülü<br>,N.A,N.A,inceleyen,incelenen,N.A,N.A,N.A,detaylı,"Nasıl (hızlıca, güzel, yavaş, yapıp, koşup vb)",Nasıl inceleniyor ? ,TRUE
856196062,0.09,11,false,"",0.0909,,"","Miktarı (yüzde elli), (az, çok, biraz), (benden fazla) vb. 
Ne Zaman (Eylül, Pazartesi), Ne Sıklıkla (her zaman, bazen), Kaçıncı (ilk, son) ya da Ne kadarlığına (bir aylığına)",Ne zaman süründüm ?,144,Bir süre kapısında bir köpek gibi süründüm . ,sürün,1,1,"&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <strong>Cümle:</strong><font size=3><i>İçimize tekrar emniyet geldikten sonra, karnımız üstünde sürünerek Nil'e, sonra öteki sahile geçtik.</i></font><br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>Eylem</b>: sürünerek<br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>Eylemin nerede, hangi lokasyonda gerçekleştiği (soyut da olabilir) (mahallede, konuşmasında, hayalinde)</b>: karnımız üstünde<br>",N.A,N.A,sürünen,N.A,N.A,N.A,N.A,süre,"Miktarı (yüzde elli), (az, çok, biraz), (benden fazla) vb. 
Ne Zaman (Eylül, Pazartesi), Ne Sıklıkla (her zaman, bazen), Kaçıncı (ilk, son) ya da Ne kadarlığına (bir aylığına)",Ne zaman süründüm ?,TRUE
856196063,0.20,5,false,"",0.0,,"","Nerede (mahallede, konuşmasında, hayalinde)",Nerede süründüm ? ,144,Bir süre kapısında bir köpek gibi süründüm . ,sürün,1,1,"&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <strong>Cümle:</strong><font size=3><i>İçimize tekrar emniyet geldikten sonra, karnımız üstünde sürünerek Nil'e, sonra öteki sahile geçtik.</i></font><br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>Eylem</b>: sürünerek<br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>Eylemin nerede, hangi lokasyonda gerçekleştiği (soyut da olabilir) (mahallede, konuşmasında, hayalinde)</b>: karnımız üstünde<br>",N.A,N.A,sürünen,N.A,N.A,N.A,N.A,kapısında,"Nerede (mahallede, konuşmasında, hayalinde)",Nerede süründüm ? ,TRUE
856196064,0.14,7,false,"",0.0,,"","Nasıl (hızlıca, güzel, yavaş, yapıp, koşup vb)",Nasıl süründüm ? ,144,Bir süre kapısında bir köpek gibi süründüm . ,sürün,1,1,"&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <strong>Cümle:</strong><font size=3><i>İçimize tekrar emniyet geldikten sonra, karnımız üstünde sürünerek Nil'e, sonra öteki sahile geçtik.</i></font><br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>Eylem</b>: sürünerek<br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>Eylemin nerede, hangi lokasyonda gerçekleştiği (soyut da olabilir) (mahallede, konuşmasında, hayalinde)</b>: karnımız üstünde<br>",N.A,N.A,sürünen,N.A,N.A,N.A,N.A,gibi,"Nasıl (hızlıca, güzel, yavaş, yapıp, koşup vb)",Nasıl süründüm ? ,TRUE
